medcode,readcode,readterm,minormalformation,subgroup
20314,pdy4.00,congenital bladder diverticulum,,Urinary
57166,pdy5.00,congenital bladder hernia,,Urinary
29419,pdy6.00,congenital urethrorectal fistula,,Urinary
41025,pdy7.00,congenital prolapse of bladder mucosa,,Urinary
47479,pdy8.00,congenital prolapse of urethra,,Urinary
27283,pdy9.00,double urethra,,Urinary
61128,pdya.00,double urinary meatus,,Urinary
34636,pdyz.00,other bladder or urethral anomaly nos,,Urinary
65057,pdyz000,"epispadias, female",,Urinary
57744,pdyz100,"hypospadias, female",,Genital
4817,pdz..00,urinary system anomalies nos,,Urinary
17356,pdz0.00,unspecified anomaly of kidney,,Urinary
16257,pdz1.00,unspecified anomaly of ureter,,Urinary
44752,pdz2.00,unspecified anomaly of bladder,,Urinary
46880,pdz3.00,unspecified anomaly of urethra,,Urinary
44150,pe...00,certain congenital musculoskeletal deformities,,Limb
3298,pe...11,congenital musculoskeletal deformities,,Limb
17914,pe0..00,"skull, face and jaw congenital deformities",,Limb
36168,pe0..11,face congenital deformities,,"""Ear, Face & Neck"""
30123,pe0..12,jaw congenital deformities,,Limb
18808,pe0..13,skull congenital deformities,,Limb
8325,pe00.00,asymmetry of face,Yes,Limb
26732,pe01.00,compression facies,Yes,Limb
73612,pe02.00,potter's facies,,Urinary
59811,pe03.00,depressions in skull,Yes,Limb
38937,pe04.00,dolichocephaly,Yes,Limb
1519,pe05.00,plagiocephaly,Yes,Limb
20556,pe05.11,asymmetric head,Yes,Limb
16924,pe06.00,congenital nasal septum deviation,Yes,Limb
53454,pe07.00,congenital bent or squashed nose,Yes,Limb
54258,pe0z.00,"skull, face or jaw congenital deformities nos",,Limb
8721,pe1..00,congenital sternomastoid torticollis,Yes,Limb
65125,pe1..11,congenital wry neck,Yes,Limb
22012,pe2..00,congenital spine deformity,,Limb
49933,pe20.00,"congenital spine deformity, unspecified",,Limb
8358,pe21.00,congenital postural lordosis,Yes,Other
4330,pe22.00,congenital postural scoliosis,,Limb
9567,pe23.00,congenital scoliosis due to congenital bony malformation,,Other
29412,pe2z.00,congenital spine deformity nos,,Limb
38363,pe2z.11,congenital postural curvature of spine nos,,Limb
9239,pe3..00,congenital dislocation and subluxation of the hip,Yes,Limb
933,pe30.00,congenital dislocation of hip,,Limb
45970,pe30000,unilateral congenital dislocation of hip,,Limb
38373,pe30100,bilateral congenital dislocation of hip,,Limb
33576,pe30z00,congenital dislocation of hip nos,,Limb
14938,pe31.00,congenital subluxation of hip,Yes,Limb
34019,pe31000,unilateral congenital subluxation of hip,Yes,Limb
63645,pe31011,unstable hip,Yes,Limb
93328,pe31012,preluxation of hip,Yes,Limb
93994,pe31013,predislocation status of hip at birth,Yes,Limb
97269,pe31014,congenital instability of hip joint,Yes,Limb
61870,pe31100,bilateral congenital subluxation of hip,Yes,Limb
62586,pe31z00,congenital subluxation of hip nos,Yes,Limb
99310,pe32.00,congenital dislocation one hip with subluxation other hip,Yes,Limb
3691,pe34.00,dysplastic hip,,Limb
38772,pe34000,unilateral dysplastic hip,,Limb
34285,pe34100,bilateral dysplastic hip,,Limb
24917,pe35.00,unstable hip,Yes,Limb
34246,pe35000,unilateral unstable hip,Yes,Limb
50468,pe35100,bilateral unstable hip,Yes,Limb
27301,pe3z.00,congenital dislocation of hip nos,,Limb
21522,pe4..00,genu recurvatum and long leg bone bowing,Yes,Limb
41198,pe4..11,congenital leg bone bowing,Yes,Limb
50367,pe40.00,congenital genu recurvatum,Yes,Limb
20745,pe41.00,congenital dislocation of knee,,Limb
103268,pe41100,congenital dislocation of knee grade ii,,Limb
65011,pe41300,congenital dislocation of patella,,Limb
29298,pe42.00,congenital bowing of femur,Yes,Limb
4805,pe43.00,congenital bowing of tibia and fibula,Yes,Limb
48290,pe43000,congenital bowing of tibia,Yes,Limb
101875,pe43100,congenital bowing of fibula,Yes,Limb
38801,pe44.00,"congenital bowing of long leg bone, unspecified",Yes,Limb
1971,pe44.11,bow legs nos,Yes,Limb
61183,pe4z.00,genu recurvatum and long leg bone bowing nos,Yes,Limb
5955,pe5..00,varus deformities of feet,Yes,Limb
22846,pe50.00,congenital talipes varus,,Limb
26456,pe50.11,pes varus,,Limb
7039,pe50.12,congenital clubfoot - varus,,Limb
156,pe51.00,congenital talipes equinovarus,,Limb
11093,pe52.00,metatarsus primus varus,Yes,Limb
1463,pe53.00,congenital metatarsus varus,Yes,Limb
11198,pe54.00,congenital metatarsus adductus,Yes,Limb
63009,pe5x.00,complex varus foot deformities,,Limb
43154,pe5y.00,other specified varus feet deformity,,Limb
7815,pe5y000,congenital talipes calcaneovarus,,Limb
42135,pe5yz00,other specified varus foot deformity nos,,Limb
6974,pe5z.00,varus foot deformity nos,Yes,Limb
891,pe6..00,valgus deformities of feet,Yes,Limb
29808,pe60.00,congenital talipes valgus,Yes,Limb
23980,pe60.11,congenital clubfoot - valgus,Yes,Limb
7384,pe61.00,congenital pes planus,Yes,Limb
20004,pe61.11,congenital flat foot,Yes,Limb
90878,pe61.13,rigid flat foot,Yes,Limb
50982,pe61.14,spastic flat foot,Yes,Limb
50065,pe61000,congenital vertical talus,Yes,Limb
6961,pe62.00,congenital talipes calcaneovalgus,Yes,Limb
28010,pe6y.00,other valgus foot deformities,Yes,Limb
31013,pe6y000,congenital talipes equinovalgus,Yes,Limb
20312,pe6y100,congenital planovalgus,Yes,Limb
27621,pe6yz00,other valgus foot deformity nos,Yes,Limb
23411,pe6z.00,valgus foot deformity nos,Yes,Limb
41807,pe6z.11,congenital metatarsus valgus,Yes,Limb
24526,pe7..00,other deformities of feet,,Limb
4335,pe70.00,"talipes, unspecified",,Limb
4331,pe70.11,clubfoot nos,,Limb
15785,pe71.00,talipes cavus,Yes,Limb
19703,pe71.11,congenital claw toe,,Limb
1124,pe71.12,pes cavus,Yes,Limb
7115,pe72.00,congenital pes cavus,Yes,Limb
2023,pe73.00,congenital claw foot,,Limb
28212,pe74.00,"short achilles tendon, congenital",Yes,Limb
44293,pe7y.00,other specified foot deformity,,Limb
29722,pe7y000,asymmetric talipes,Yes,Limb
38386,pe7y100,congenital talipes calcaneus,,Limb
4334,pe7y200,congenital talipes equinus,,Limb
22854,pe7y300,congenital positional talipes,Yes,Limb
44379,pe7yz00,other specified foot deformity nos,,Limb
40277,pe7z.00,feet deformities nos,,Limb
60362,pe8..00,other specified nonteratogenic anomalies,,Other
4014,pe80.00,"pectus excavatum, congenital",Yes,Limb
27309,pe80.11,congenital funnel chest,Yes,Limb
22025,pe81.00,"pectus carinatum, congenital",Yes,Limb
25746,pe81.11,congenital pigeon chest,Yes,Limb
67318,pe8y.00,other nonteratogenic anomalies os,,Other
45651,pe8y000,congenital club hand,,Limb
41019,pe8y011,congenital club fingers,,Limb
17068,pe8y100,congenital chest wall deformity nec,Yes,Limb
35125,pe8y111,congenital thoracic wall deformity nec,,Limb
22301,pe8y200,congenital dislocation of elbow,,Limb
56631,pe8y300,congenital flexion contractures of leg,,Limb
61879,pe8y400,congenital spade-like hand,,Limb
47224,pe8y500,guerin - stern syndrome,,Limb
50307,pe8y600,congenital flexion contracture of hip,,Limb
20559,pe8y700,congenital abduction contracture of hip,,Limb
29124,pe8y800,congenital flexion contracture of knee,,Limb
61605,pe8y900,congenital short quadriceps,,Limb
37327,pe8ya00,congenital dislocation of radial head,,Limb
31710,pe8yb00,discoid meniscus - congenital,,Other
30946,pe8yz00,other nonteratogenic anomaly nos,,Other
42648,pe8yz11,specified intrauterine postural deformity nec,,Genital
98081,pe8z.00,nonteratogenic anomalies nos,,Other
26139,pe9..00,other musc skeletal deformity,,Limb
37167,pe9..11,other congenital musculoskeletal deformity,,Limb
33946,pez..00,congenital musculoskeletal deformity nos,,Other
14649,pf...00,other congenital limb anomalies,,Limb
3241,pf0..00,polydactyly - supernumerary digits,,Limb
15526,pf00.00,"supernumerary digits, unspecified",,Limb
16335,pf01.00,accessory fingers,,Limb
101754,pf01000,radial polydactyly wassel 1,,Limb
100780,pf01100,radial polydactyly wassel 2,,Limb
111768,pf01200,radial polydactyly wassel 3,,Limb
94719,pf01300,radial polydactyly wassel 4,,Limb
99672,pf01700,central polydactyly,,Limb
69795,pf01800,ulnar polydactyly,,Limb
17995,pf02.00,accessory toes,,Limb
59949,pf02000,accesory hallux,,Limb
49767,pf02100,accessory little toe,,Limb
48888,pf02200,other accessory toe,,Limb
28246,pf03.00,accessory thumbs,,Limb
40691,pf0z.00,polydactyly nos,,Limb
2483,pf1..00,syndactyly - webbing of digits,,Limb
63079,pf10.00,"syndactyly of multiple digits, unspecified",,Limb
41117,pf11.00,syndactyly of fingers without bone fusion,,Limb
33365,pf11.11,webbed fingers,,Limb
62902,pf11000,simple syndactyly - 1st web,,Limb
70749,pf11100,simple syndactyly - 2nd to 4th web,,Limb
4457,pf12.00,syndactyly of fingers with bone fusion,,Limb
40398,pf12.11,fused fingers,,Limb
65604,pf12.12,osseous syndactyly of fingers,,Limb
56836,pf13.00,syndactyly of toes without bone fusion,,Limb
3642,pf13.11,webbed toes,,Limb
97353,pf13000,simple syndactyly of toes 1st web space,,Limb
24936,pf13100,simple syndactyly lesser toes,Yes,Limb
67014,pf14.00,syndactyly of toes with bone fusion,,Limb
33927,pf14.11,fused toes,,Limb
36494,pf14.12,conjoined toes,,Limb
108734,pf14.13,syndactyly of toes with bone fusion,,Limb
104916,pf14100,osseous syndactyly lesser toes,,Limb
38836,pf15.00,polysyndactyly,,Limb
43838,pf1z.00,syndactyly nos,,Limb
68991,pf1z.11,polysyndactyly,,Limb
66229,pf1z.12,symphalangism,,Limb
43578,pf2..00,reduction deformity of upper limb,,Limb
54315,pf2..11,arm reduction deformity,,Limb
19667,pf20.00,"congenital shortening of arm, unspecified",,Limb
51709,pf20.11,brachymelia of arm,,Limb
70730,pf20100,ectromelia of upper limb nos,,Limb
50784,pf20200,hemimelia of upper limb nos,,Limb
73622,pf20z00,unspecified congenital shortening of arm nos,,Limb
32039,pf21.00,transverse deficiency of arm,,Limb
37973,pf21.11,congenital absence part of arm,,Limb
96910,pf21000,"transverse deficiency of arm, unspecified",,Limb
104822,pf21100,"transverse deficiency of arm, phalangeal level, all fingers",,Limb
67807,pf21200,"transverse deficiency of arm, forearm level",,Limb
61285,pf21300,"transverse deficiency of arm, shoulder level(amelia)",,Limb
59307,pf21400,congenital amputation of upper limb,,Limb
98901,pf21500,"transverse deficiency of arm, elbow level(hemimelia)",,Limb
65248,pf21600,"transverse deficiency of arm, wrist level(hemimelia)",,Limb
35834,pf21611,acheiria,,Limb
28097,pf21612,rudimentary hand,,Limb
46835,pf21613,congenital absence of hand,,Limb
103878,pf21z00,transverse deficiency of arm nos,,Limb
56350,pf21z11,agenesis of hand,,Limb
105807,pf22.00,longitudinal deficiency of arm nec,,Limb
30613,pf22000,phocomelia of upper limb nos,,Limb
59410,pf22100,rudimentary arm,,Limb
94122,pf22z00,longitudinal deficiency of arm nec nos,,Limb
37277,pf23.00,congenital absence upper arm and forearm with hand present,,Limb
97450,pf23.11,complete phocomelia of upper limb,,Limb
72180,pf24.00,congenital absence of upper arm only,,Limb
61225,pf24.11,proximal phocomelia of upper limb,,Limb
27624,pf25.00,congenital absence of forearm only,,Limb
50234,pf25.11,distal phocomelia of upper limb,,Limb
95060,pf26.00,agenesis of radial ray,,Limb
90910,pf26.11,congenital absence of radius,,Limb
62500,pf26000,hypoplasia of radius,,Limb
106171,pf26100,partial radial absence,,Limb
66061,pf26200,total radial absence,,Limb
44821,pf26300,absent thumb,,Limb
93775,pf26400,hypoplastic thumb-blauth 1,,Limb
36739,pf26500,hypoplastic thumb-blauth 2,,Limb
103983,pf26600,hypoplastic thumb-blauth 3,,Limb
101105,pf26700,hypoplastic thumb-blauth 4,,Limb
104836,pf26800,hypoplastic thumb-blauth 5,,Limb
107677,pf27.00,agenesis of ulna,,Limb
104751,pf27000,partial defect of ulna,,Limb
68975,pf27100,total absence of ulna,,Limb
65514,pf27200,ulnar and humeroulnar synostosis,,Limb
49228,pf28.00,agenesis of carpals and metacarpals,,Limb
57346,pf28.11,transverse arrest of carpals and metacarpals,,Limb
72940,pf28000,transverse arrest carpal level,,Limb
66066,pf28100,transverse arrest metacarpal 1st ray,,Limb
62884,pf28200,transverse arrest metacarpal other,,Limb
33394,pf29.00,congenital absence of finger,,Limb
106011,pf29.12,transverse arrest of phalanges,,Limb
107002,pf29000,transverse arrest phalangeal level 1st ray,,Limb
105799,pf29100,transverse arrest phalangeal level 2nd ray,,Limb
99016,pf29300,transverse arrest phalangeal level 4th ray,,Limb
99017,pf29400,transverse arrest phalangeal level 5th ray,,Limb
57051,pf29z00,congenital absence finger nos,,Limb
62804,pf2y.00,other specified reduction deformities of upper limb,,Limb
68535,pf2z.00,reduction deformity of upper limb nos,,Limb
22457,pf2z.11,hypoplasia of upper limb,,Limb
34660,pf3..00,reduction deformity of lower limb,,Limb
43649,pf3..11,leg reduction deformity,,Limb
4616,pf30.00,"congenital shortening of leg, unspecified",,Limb
96366,pf30.11,brachymelia of leg,,Limb
73653,pf30000,ectromelia of lower limb nos,,Limb
32907,pf30100,hemimelia of lower limb nos,,Limb
45385,pf30z00,unspecified congenital leg shortening nos,,Limb
65592,pf31.00,transverse deficiency of leg,,Limb
106477,pf31100,transverse deficiency lower limb - ankle level,,Limb
67119,pf31112,hemimelia - ankle level,,Limb
60525,pf31200,congenital absence of leg and foot,,Limb
96409,pf31311,amelia - lower limb,,Limb
70964,pf31500,transverse deficiency lower limb - knee level,,Limb
108988,pf31511,hemimelia - knee level,,Limb
45605,pf32.00,longitudinal reduction deformity of lower limb nec,,Limb
40975,pf32.11,phocomelia of lower limb nos,,Limb
50564,pf33.00,congenital absence of thigh and lower leg with foot present,,Limb
93219,pf33.11,complete phocomelia of lower limb,,Limb
95735,pf34.00,congenital absence of thigh only,,Limb
104207,pf34.11,proximal phocomelia of lower limb,,Limb
99666,pf34000,proximal femoral focal deficiency,,Limb
94734,pf34100,congenital short femur,,Limb
72561,pf35.00,congenital absence of lower leg only,,Limb
41398,pf35.11,distal phocomelia of lower limb,,Limb
66868,pf36.00,agenesis of tibia,,Limb
104835,pf36200,congenital tibial deficiency type iii,,Limb
60930,pf37.00,agenesis of fibula,,Limb
97903,pf37100,congenital fibular deficiency type ii,,Limb
28646,pf38.00,agenesis of tarsals and metatarsals,,Limb
92289,pf38000,agenesis of talus,,Limb
89722,pf38200,agenesis of other tarsal bone,,Limb
99156,pf38500,agenesis of 5th metatarsal,,Limb
103879,pf38600,agenesis of other metatarsal,,Limb
70263,pf38700,agenesis of 4th and 5th metatarsals,,Limb
35699,pf39.00,congenital absence of toe,,Limb
64730,pf39000,congenital absence of great toe,,Limb
69248,pf39100,congenital absence of 5th toe,,Limb
96737,pf39200,congenital absence of other lesser toe,,Limb
64339,pf39400,congenital absence of other multiple toes,,Limb
65217,pf3y.00,other specified reduction deformities of lower limb,,Limb
36487,pf3z.00,reduction deformity of lower limb nos,,Limb
24646,pf3z.11,hypoplasia of lower limb,,Limb
27365,pf4..00,reduction deformity of unspecified limb,,Limb
28661,pf40.00,congenital absence of limb nos,,Limb
66912,pf41.00,amelia of unspecified limb,,Limb
73649,pf43.00,hemimelia of unspecified limb,,Limb
41471,pf44.00,phocomelia of unspecified limb,,Limb
53564,pf45.00,congenital amputation of unspecified limb,,Limb
60133,pf46.00,longitudinal reduction deformity of unspecified limb,,Limb
34321,pf47.00,congenital absence of digits nos,,Limb
59166,pf47.11,adactyly,,Limb
110673,pf4y.00,other specified reduction deformities of unspecified limb,,Limb
99157,pf4y000,brachymelia nos,,Limb
62732,pf4z.00,reduction deformity of unspecified limb nos,,Limb
49171,pf4z.11,brachydactyly nos,,Limb
65349,pf4z.12,withered limb,,Limb
51993,pf4z.13,hypoplasia of limb nos,,Limb
44219,pf5..00,other upper limb and shoulder anomaly,,Limb
14964,pf50.00,"upper limb anomaly, unspecified",,Limb
28542,pf51.00,congenital deformity of clavicle,,Limb
107012,pf51.11,clavicle agenesis,,Limb
15859,pf52.00,congenital elevation of scapula,,Limb
36940,pf52.11,sprengel's deformity,,Limb
32512,pf53.00,radio-ulnar synostosis,,Limb
64307,pf53000,proximal radioulnar synostosis,,Limb
54805,pf53100,radioulnar synostosis and dislocation of radial head,,Limb
109481,pf53200,distal radioulnar synostosis,,Limb
28025,pf54.00,madelung's deformity,,Limb
15749,pf56.00,accessory carpal bones,Yes,Limb
41345,pf57.00,macrodactylia (fingers),,Limb
56166,pf57000,macrodactyly - simple,,Limb
104353,pf57100,macrodactyly - fatty nerve tumor,,Limb
71088,pf59000,windblown hand,,Limb
97774,pf59300,aberrant intrinsic muscles,,Limb
70743,pf59400,poland's syndrome,,Other
20442,pf59500,thumb in palm deformity,,Limb
17433,pf59600,congenital trigger thumb,,Limb
95375,pf5a.00,"other failure of differentiation, skeletal tissues of arm",,Limb
46124,pf5a100,capitate-hamate synostosis,,Limb
65714,pf5a200,scaphoid-lunate synostosis,,Limb
89442,pf5a300,other carpal synostosis,,Limb
93506,pf5a400,pip joint symphalangism,,Limb
104729,pf5a500,dip joint symphalangism,,Limb
37804,pf5b.00,other duplication of limb,,Limb
66174,pf5bz00,duplication of limb nos,,Limb
61661,pf5c.00,other overgrowth of upper limb,,Limb
106182,pf5c100,overgrowth of partial upper limb,,Limb
99226,pf5cz00,other overgrowth of limb nos,,Limb
56203,pf5d100,undergrowth of whole hand,,Limb
47441,pf5d200,brachymetacarpia,,Limb
105008,pf5dz00,other undergrowth of limb nos,,Limb
24053,pf5e.00,constriction ring syndrome of upper limb,,Limb
38896,pf5e000,constriction ring,,Limb
93038,pf5e100,constriction ring with lymphoedema,,Limb
62353,pf5e200,acrosyndactyly,,Limb
99600,pf5e300,intra-uterine amputation,,Limb
104024,pf5e400,constriction ring with acrosyndactyly and amputation,,Limb
48901,pf5f.00,congenital absence of both forearm and hand,,Limb
48508,pf5g.00,congenital complete absence of upper limb(s),,Limb
26291,pf5r.00,other congenital anomalies of fingers,,Limb
42203,pf5r000,triphalangeal thumb,,Limb
46129,pf5r100,"brachydactyly of fingers, unspecified",,Limb
10556,pf5r400,flexion deformity of fingers,,Limb
67022,pf5r500,brachydactyly-all 3 phalanges,,Limb
64701,pf5r600,brachydactyly-missing phalanx,,Limb
45447,pf5r700,symbrachydactyly,,Limb
68342,pf5rc00,brachymesophalangia,,Limb
37965,pf5rd00,congenital malformation of thumb,,Limb
48177,pf5rz00,other anomaly of fingers nos,,Limb
5594,pf5s.00,other congenital anomalies of hand,,Limb
54598,pf5t.00,other congenital anomalies of wrist,,Limb
66010,pf5u.00,other congenital anomalies of forearm,,Limb
34717,pf5u000,radio-ulnar dysostosis,,Limb
61558,pf5uz00,other congenital anomaly forearm nos,,Limb
24218,pf5v.00,congenital anomalies of elbow and upper arm,,Limb
31908,pf5v.11,cubitus nos,,Limb
63972,pf5w.00,other congenital anomalies of shoulder,,Limb
49743,pf5w.11,congenital deformity of scapula nec,,Limb
48510,pf5x.00,other congenital anomalies of whole arm,,Limb
102633,pf5y.00,other upper limb and shoulder anomaly os,,Limb
30227,pf5y000,cleidocranial dysostosis,,Limb
56876,pf5y011,cleidocranial dysplasia,,Limb
65963,pf5y100,congenital cubitus valgus,Yes,Limb
68582,pf5y200,congenital cubitus varus,,Limb
62024,pf5y300,congenital humeral varus,,Limb
102227,pf5y400,humeroradial synostosis,,Limb
103201,pf5y500,humeroulnar synostosis,,Limb
70267,pf5y600,total elbow synostosis,,Limb
97110,pf5yz00,other upper limb and shoulder anomaly nos,,Limb
16058,pf5z.00,upper limb or shoulder anomaly nos,,Limb
72487,pf6..00,other lower limb and pelvic girdle anomalies,,Limb
15502,pf60.00,"lower limb anomaly, unspecified",,Limb
38305,pf61.00,congenital coxa valga,,Limb
40980,pf62.00,congenital coxa vara,,Limb
15949,pf63.00,other congenital hip joint deformity,,Limb
9549,pf63000,congenital anteversion of femoral neck,,Limb
2889,pf63100,congenital hip dysplasia,,Limb
19123,pf63111,developmental dysplasia of the hip,,Limb
32418,pf63200,congenital acetabular dysplasia,,Limb
40517,pf63x00,"congenital deformity of hip, unspecified",,Limb
63834,pf63z00,other congenital hip joint deformity nos,,Limb
15124,pf64.00,congenital knee joint deformity,,Limb
61638,pf64000,congenital absence of patella,,Limb
11338,pf64100,congenital genu valgum - knock-knee,Yes,Limb
17935,pf64200,congenital genu varum - bowleg,Yes,Limb
95032,pf64300,rudimentary patella,,Limb
21813,pf64400,congenital dislocation of patella,,Limb
47736,pf64500,bipartite patella,,Limb
50077,pf64z00,congenital knee joint deformity nos,,Limb
24643,pf65.00,macrodactylia of toes,Yes,Limb
72268,pf65000,macrodactyly of toes - simple,Yes,Limb
944,pf66.00,other congenital anomalies of toe,,Limb
7965,pf66000,congenital hallux valgus,,Limb
7405,pf66100,congenital hallux varus,Yes,Limb
8626,pf66200,congenital hammer toe,Yes,Limb
68317,pf66300,brachydactyly of toes,,Limb
18517,pf66400,congenital crossed toes,Yes,Limb
22585,pf66411,congenital overlapping toes,Yes,Limb
4333,pf66500,congenital curly toes,Yes,Limb
108865,pf66600,brachyphalangia of little toe,Yes,Limb
42733,pf66800,perodactylia of great toe,,Limb
103258,pf66900,perodactylia of lesser toe,,Limb
94794,pf66b00,triphalangeal great toe,,Limb
33960,pf66z00,other toe anomalies nos,,Limb
2070,pf67.00,congenital anomalies of foot nec,,Limb
60339,pf67000,astragaloscaphoid synostosis,,Limb
12263,pf67100,calcaneonavicular bar,,Limb
37141,pf67200,coalition of calcaneous,,Limb
48474,pf67300,talonavicular synostosis,,Limb
5376,pf67400,tarsal coalitions,Yes,Limb
35097,pf67700,accessory tarsal bones,,Limb
54298,pf67800,talocalcaneal bar,,Limb
57873,pf67900,naviculocuneiform bar,,Limb
23669,pf67a00,complex tarsal coalition,Yes,Limb
37404,pf67z00,anomalies of foot nec nos,,Limb
101628,pf69.00,failure of differentiation of skeletal tissues of lower limb,,Limb
99687,pf69000,congenital synostosis of lower limb bones,,Limb
40983,pf6a.00,duplication of lower limb bone,,Limb
46652,pf6b.00,congenital overgrowth of lower limb,,Limb
53673,pf6b200,congenital overgrowth of foot,,Limb
62705,pf6b300,congen overgrowth of whole lower limb,,Limb
62450,pf6c.00,congenital undergrowth of lower limb,,Limb
54180,pf6c000,congenital undergrowth of proximal part of limb,,Limb
64939,pf6c100,congenital undergrowth of distal part of limb,,Limb
110670,pf6c300,brachymetapodia of 1st metatarsal,,Limb
67293,pf6d.00,constriction ring syndrome of lower limb,,Limb
93784,pf6d000,constriction ring of lower limb,,Limb
48471,pf6d200,intrauterine amputation of lower limb,,Limb
28775,pf6d300,constriction ring syndrome of lower limb with amputation,,Limb
64988,pf6e.00,congenital absence of thigh and lower leg with foot present,,Limb
59150,pf6v.00,other congenital anomalies of lower leg,,Limb
92299,pf6w.00,other congenital anomalies of upper leg,,Limb
25190,pf6x.00,other congenital anomalies of pelvis,,Limb
55114,pf6xz00,other congenital anomalies of pelvis nos,,Limb
44728,pf6y.00,other lower limb anomalies,,Limb
54295,pf6y000,congenital angulation of tibia,,Limb
27426,pf6y100,congenital deformity of ankle joint,,Limb
64527,pf6y200,congenital deformity of sacroiliac joint,,Limb
67220,pf6y300,congenital fusion of sacroiliac joint,,Limb
36277,pf6y400,congenital varus ankle,,Limb
36791,pf6y500,congenital valgus ankle,Yes,Limb
48469,pf6y600,congenital pseudarthrosis of tibia,,Limb
46734,pf6yz00,other lower limb and pelvic girdle anomaly nos,,Limb
52738,pfy..00,other specified anomalies of unspecified limb,,Limb
38479,pfy0.00,arthrogryposis multiplex congenita,,Limb
60165,pfy4.00,other arthrogryposis syndromes,,Limb
66220,pfyz.00,other anomaly of unspecified limb nos,,Limb
9723,pfz..00,congenital anomaly of unspecified limb nos,,Limb
2948,pg...00,other congenital musculoskeletal anomalies,,Limb
29367,pg0..00,skull and face bone anomalies,,Limb
46833,pg0..11,face bone anomalies,,Limb
31160,pg0..12,skull and face bone anomalies,,Other
38119,pg00.00,congenital absence of skull bones,,Other
48272,pg01.00,acrocephaly,,Other
17050,pg02.00,congenital forehead deformity,,Other
16897,pg03.00,craniosynostosis,,Other
39894,pg03.11,scaphocephaly,,Other
105646,pg03100,lambdoid synostosis,,Other
14985,pg05.00,hypertelorism,Yes,Other
5246,pg06.00,imperfect fusion of skull,,Other
40350,pg07.00,oxycephaly,,Other
25250,pg08.00,platybasia,,Other
27292,pg09.00,premature cranial suture closure,,Other
38476,pg0b.00,trigonocephaly,,Other
51771,pg0g.00,localised skull defects,,Other
53631,pg0g.11,craniolacunia,,Other
32597,pg0g.12,lacunar skull,,Other
6435,pg0h.00,macrocephaly,Yes,Other
60540,pg0y.00,other specified skull or face bone anomaly,,Other
42608,pg0y.11,defect of skull ossification,,Other
40979,pg0y.12,cranial dysostosis nec,,Limb
33762,pg0y000,brachycephaly,Yes,Other
69913,pg0yz00,other anomaly of skull or face bone nos,,Other
15275,pg0z.00,skull or face bone anomaly nos,,Other
20810,pg1..00,anomalies of spine,,Limb
60066,pg10.00,"anomaly of spine, unspecified",,Limb
35729,pg11.00,congenital lumbosacral spondylolysis,,Other
1871,pg12.00,congenital spondylolisthesis,,Other
62641,pg13.00,congenital absence of vertebra,,Other
68093,pg13000,congenital absence of cervical vertebra,,Other
90498,pg13200,congenital absence of lumbar vertebra,,Other
43351,pg13300,congenital absence of sacrum,,Other
27473,pg13311,sacral agenesis,,Other
25281,pg14.00,hemivertebra,,Other
55966,pg14000,cervical hemivertebra,,Other
44822,pg14100,thoracic hemivertebra,,Other
61054,pg14200,lumbar hemivertebra,,Other
97893,pg14800,lumbar hemivertebra - unbalanced,,Other
63497,pg14z00,hemivertebra nos,,Other
15499,pg15.00,congenital fusion of spine,,Other
29414,pg15.11,congenital lumbosacral fusion,,Other
52822,pg15000,congenital complete fusion of spine,,Other
91259,pg15100,congenital partial fusion of spine - balanced,,Other
53028,pg15200,congenital partial fusion of spine - unbalanced,,Other
56152,pg16000,wilderwanck's syndrome,,Other
3336,pg17.00,spina bifida occulta,Yes,Other
19669,pg18.00,congenital kyphosis,,Other
28717,pg18.11,congenital kyphoscoliosis,,Other
5574,pg1u.00,congenital anomalies of cervical vertebrae nec,,Other
104945,pg1u000,supernumerary cervical vertebra,,Other
41763,pg1uz00,congenital anomaly of cervical vertebrae nec nos,,Other
40690,pg1v.00,congenital anomalies of thoracic vertebrae nec,,Other
71152,pg1vz00,congenital anomaly of thoracic vertebrae nec nos,,Other
48726,pg1w.00,congenital anomalies of lumbar vertebrae nec,,Other
69532,pg1w000,supernumerary lumbar vertebra,,Other
66463,pg1wz00,congenital anomaly of lumbar vertebra nec nos,,Other
48088,pg1x.00,congenital sacrococcygeal anomalies nec,,Other
93830,pg1x000,congenital absence of coccyx,,Other
68081,pg1x100,congenital absence of sacrum,,Other
70583,pg1xz00,congenital sacrococcygeal anomaly nos,,Other
56878,pg1y.00,other anomaly of spine,,Limb
53416,pg1y.11,congenital deformity of lumbosacral joint,,Other
51156,pg1y.12,congenital deformity of lumbosacral region,,Other
48194,pg1y000,platyspondylia,,Other
59334,pg1y100,supernumerary vertebra,,Other
41216,pg1y300,defect of vertebral segmentation,,Other
68493,pg1y400,hypoplasia of spine,,Other
22768,pg1yz00,other anomaly of spine nos,,Limb
45429,pg1z.00,anomalies of spine nos,,Limb
872,pg2..00,cervical rib,Yes,Other
15048,pg3..00,other rib and sternum anomalies,,Other
42378,pg30.00,congenital absence of rib,Yes,Other
63291,pg31.00,congenital absence of sternum,,Other
57566,pg32.00,congenital fissure of sternum,,Other
35806,pg33.00,congenital fusion of ribs,Yes,Other
63241,pg34.00,sternum bifidum,Yes,Other
30675,pg35.00,mis-shapen ribs,,Other
42613,pg36.00,extra ribs,Yes,Other
